Id,Label,Statuses Count,Followers Count,Friends Count,Listed Count,Favourites Count,Klout Score,Klout Score Bucket,Kred Influence,Kred Outreach,Eccentricity,Closeness Centrality,Betweenness Centrality,Eigenvector Centrality,Local Clustering Coefficient,Clustering Coefficient,Component ID,Strongly-Connected ID,PageRank,Modularity Class,Authority,Hub,Weighted Degree,Weighted In-Degree,Weighted Out-Degree,In-Degree,Out-Degree,Degree,Erdös Number
381058048,apoliq,2758.0,289.0,766.0,3.0,107.0,40.607617149522866,40-49,642.0,6.0,7.0,2.961436170212766,23776.12208659985,0.08292820182628345,0.017186793306196293,0.055966698,0,110,2.495438932801198E-4,101,7.0331094E-4,7.172216E-4,67.0,25.0,42.0,25,42,67,3
515056851,Eric_Doherty,1142.0,275.0,309.0,9.0,15.0,48.91828636004539,40-49,637.0,5.0,7.0,3.551418439716312,4153.092959738045,0.03906117575455163,0.027777777777777776,0.08421053,0,110,1.2623577057767492E-4,463,4.3280676E-4,4.4136713E-4,28.0,15.0,13.0,15,13,28,4
1115237750,netdog713,11599.0,244.0,672.0,1.0,1762.0,16.381716492232634,10-19,676.0,8.0,8.0,4.253102836879433,0.0,0.0014012386672104852,0.0,0.0,0,110,5.0274938070987655E-5,29,5.4100845E-5,5.517089E-5,2.0,1.0,1.0,1,1,2,4
154945079,M_artini_72,1953.0,364.0,1324.0,4.0,17.0,44.734359006385255,40-49,607.0,6.0,6.0,3.1538120567375887,11000.521742645093,0.03083553691991899,0.03368794326241135,0.09579832,0,110,1.2872486501277884E-4,443,4.0575632E-4,4.137817E-4,48.0,14.0,34.0,14,34,48,2
1219831238,IanBaranov,117.0,35.0,129.0,0.0,1.0,40.36450727118561,40-49,481.0,4.0,7.0,3.267730496453901,98.40778978288026,0.10258525618182364,0.19298245614035087,0.5879121,0,110,8.03797359206739E-5,63,2.1640338E-4,2.2068356E-4,19.0,7.0,12.0,7,12,19,4
427743419,jimmydawes107,124.0,2.0,58.0,0.0,2.0,13.449387917558909,10-19,83.0,3.0,8.0,3.8896765618077094,0.0,0.0,0.5,1.0,0,251,4.766339181938244E-5,443,0.0,2.7585445E-5,2.0,0.0,2.0,0,2,2,4
1100584747,MarianneLuez,623.0,38.0,48.0,0.0,56.0,41.078448781038475,40-49,593.0,5.0,3.0,1.9444444444444444,32.96666666666666,0.0020577614596305536,0.1,0.55,73,248,3.37274888954253E-4,422,1.6230253E-4,1.6551267E-4,10.0,5.0,5.0,5,5,10,8
831366276,ChaReboutier,1903.0,127.0,125.0,0.0,21.0,46.33793563653301,40-49,688.0,6.0,4.0,2.611111111111111,21.916666666666664,0.0023790178240934074,0.1111111111111111,0.5,73,248,5.646773245498568E-4,422,1.8935296E-4,1.9309812E-4,10.0,6.0,4.0,6,4,10,8
556094860,SamiaBoukarine,13253.0,122.0,81.0,0.0,231.0,34.63770077103555,30-39,743.0,7.0,4.0,2.611111111111111,6.416666666666666,0.002405271744434719,0.15555555555555556,0.52380955,73,248,3.939300058217485E-4,422,1.8935296E-4,1.9309812E-4,10.0,6.0,4.0,6,4,10,8
1239757610,CanConstitution,18.0,9.0,3.0,0.0,0.0,24.804009437421804,20-29,293.0,0.0,0.0,0.0,0.0,0.002949335008076777,0.0,0.5,0,96,5.005217629447892E-5,463,5.4100845E-5,0.0,1.0,1.0,0.0,1,0,1,4
95462457,stwoball,1653.0,66.0,70.0,5.0,13.0,42.51698317828077,40-49,564.0,6.0,8.0,4.040780141843972,28.093453842943365,0.016605810496624674,0.1,0.33333334,0,110,6.287755756435965E-5,463,1.0820169E-4,1.1034178E-4,5.0,3.0,2.0,3,2,5,4
923744418,HuronbruceNDP,80.0,157.0,721.0,7.0,0.0,27.652958904233998,20-29,348.0,3.0,7.0,3.3577127659574466,3196.3161998516975,0.04517349229107853,0.077524893314367,0.18349753,0,110,1.269832668738368E-4,29,4.869076E-4,4.96538E-4,38.0,17.0,21.0,17,21,38,3
1097270467,Idlenomoreyeg,5905.0,969.0,1478.0,22.0,0.0,57.16645791903005,50-59,737.0,4.0,6.0,2.9499113475177303,19599.355704746242,0.12490046925885478,0.025680421422300263,0.10627177,0,110,1.9753388071444956E-4,443,0.0010549665,0.0010758324,68.0,38.0,30.0,38,30,68,3
518046429,RZaichkowski,969.0,172.0,276.0,0.0,10.0,48.80768915158747,40-49,588.0,5.0,7.0,3.4995567375886525,5741.02154848288,0.019128008778180404,0.03333333333333333,0.19642857,0,110,1.6786747445045655E-4,29,2.1640338E-4,2.2068356E-4,15.0,7.0,8.0,7,8,15,4
